id,kel_jabatan_id,nama,status_aktif
130,A5EB03E23DCFF6A0E040640A040252AD,GURU KIMIA,1
131,A5EB03E23DCFF6A0E040640A040252AD,GURU KIMIA ANALIS,1
132,A5EB03E23DCFF6A0E040640A040252AD,GURU KIMIA ANALISIS,1
133,A5EB03E23DCFF6A0E040640A040252AD,GURU KIMIA INDUSTRI,1
134,A5EB03E23DCFF6A0E040640A040252AD,GURU KONSTRUKSI DAN PERAWATAN BANGUNAN SIPIL,1
135,A5EB03E23DCFF6A0E040640A040252AD,GURU KULINER,1
136,A5EB03E23DCFF6A0E040640A040252AD,GURU LAYANAN KESEHATAN,1
137,A5EB03E23DCFF6A0E040640A040252AD,GURU MANAJEMEN PERKANTORAN DAN LAYANAN BISNIS,1
138,A5EB03E23DCFF6A0E040640A040252AD,GURU MATEMATIKA,1
139,A5EB03E23DCFF6A0E040640A040252AD,GURU MISIOLOGI,1
140,A5EB03E23DCFF6A0E040640A040252AD,GURU MUATAN LOKAL,1
141,A5EB03E23DCFF6A0E040640A040252AD,GURU MULTIMEDIA,1
142,A5EB03E23DCFF6A0E040640A040252AD,GURU NAUTIKA KAPAL NIAGA,1
143,A5EB03E23DCFF6A0E040640A040252AD,GURU NAUTIKA KAPAL PENANGKAPAN IKAN,1
144,A5EB03E23DCFF6A0E040640A040252AD,GURU PEKERJAAN SOSIAL,1
145,A5EB03E23DCFF6A0E040640A040252AD,GURU PEMASARAN,1
146,A5EB03E23DCFF6A0E040640A040252AD,GURU PENDIDIKAN AGAMA ISLAM,1
147,A5EB03E23DCFF6A0E040640A040252AD,"GURU PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN",1
148,A5EB03E23DCFF6A0E040640A040252AD,GURU PENDIDIKAN KHUSUS,1
149,A5EB03E23DCFF6A0E040640A040252AD,GURU PENGEMBANGAN PERANGKAT LUNAK DAN GIM,1
150,A5EB03E23DCFF6A0E040640A040252AD,GURU PENGETAHUAN ALKITAB,1
151,A5EB03E23DCFF6A0E040640A040252AD,GURU PENJASORKES,1
152,A5EB03E23DCFF6A0E040640A040252AD,GURU PERHOTELAN,1
153,A5EB03E23DCFF6A0E040640A040252AD,GURU PPKN,1
154,A5EB03E23DCFF6A0E040640A040252AD,GURU PRAKARYA,1
155,A5EB03E23DCFF6A0E040640A040252AD,GURU PRAKARYA DAN KEWIRAUSAHAAN,1
156,A5EB03E23DCFF6A0E040640A040252AD,GURU SASTRA INDONESIA,1
157,A5EB03E23DCFF6A0E040640A040252AD,GURU SEJARAH,1
158,A5EB03E23DCFF6A0E040640A040252AD,GURU SEJARAH INDONESIA,1
159,A5EB03E23DCFF6A0E040640A040252AD,GURU SEJARAH KEBUDAYAAN ISLAM,1
160,A5EB03E23DCFF6A0E040640A040252AD,GURU SENI BUDAYA,1
161,A5EB03E23DCFF6A0E040640A040252AD,GURU SENI BUDAYA DAN PRAKARYA,1
162,A5EB03E23DCFF6A0E040640A040252AD,GURU SENI PERTUNJUKAN,1
163,A5EB03E23DCFF6A0E040640A040252AD,GURU SENI RUPA,1
164,A5EB03E23DCFF6A0E040640A040252AD,GURU SOSIOLOGI,1
165,A5EB03E23DCFF6A0E040640A040252AD,GURU TATA BOGA,1
166,A5EB03E23DCFF6A0E040640A040252AD,GURU TATA BUSANA,1
167,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK ELEKTRONIKA,1
168,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK ENERGI TERBARUKAN,1
169,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK FURNITUR,1
170,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK GEOLOGI PERTAMBANGAN,1
171,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK GEOSPASIAL,1
172,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK JARINGAN KOMPUTER DAN TELEKOMUNIKASI,1
173,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK KETENAGALISTRIKAN,1
174,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK KIMIA INDUSTRI,1
175,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK KOMPUTER DAN JARINGAN,1
176,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK KONSTRUKSI DAN PERUMAHAN,1
177,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK KONSTRUKSI KAPAL,1
178,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK LABORATORIUM MEDIK,1
179,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK LOGISTIK,1
180,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK MESIN,1
181,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK OTOMASI INDUSTRI,1
182,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK OTOMOTIF,1
183,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK PEMESINAN,1
184,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK PENGELASAN DAN FABRIKASI LOGAM,1
185,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK PERAWATAN GEDUNG,1
186,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK PERMINYAKAN,1
187,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK PESAWAT UDARA,1
188,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK SEPEDA MOTOR,1
189,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIK TEKSTIL,1
190,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIKA KAPAL NIAGA,1
191,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNIKA KAPAL PENANGKAPAN IKAN,1
192,A5EB03E23DCFF6A0E040640A040252AD,GURU TEKNOLOGI FARMASI,1
193,A5EB03E23DCFF6A0E040640A040252AD,GURU TIK,1
194,A5EB03E23DCFF6A0E040640A040252AD,GURU USAHA LAYANAN PARIWISATA,1
865,8ae482893580790801358a184e1848b9,Dokter Gigi Spesialis Bedah Mulut,1
866,8ae482893580790801358a184e1848b9,Dokter Gigi Spesialis Kedokteran Gigi Anak,1
867,8ae482893580790801358a184e1848b9,Dokter Gigi Spesialis Konservasi Gigi,1
868,8ae482893580790801358a184e1848b9,Dokter Gigi Spesialis Ortodonsia,1
869,8ae482893580790801358a184e1848b9,Dokter Gigi Spesialis Penyakit Mulut,1
870,8ae482893580790801358a184e1848b9,Dokter Gigi Spesialis Periodonsia,1
871,8ae482893580790801358a184e1848b9,Dokter Gigi Spesialis Prostodonsia,1
872,8ae482893580790801358a184e1848b9,Dokter Gigi Spesialis Radiologi Kedokteran Gigi,1
195,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ACADEMIC WRITING,1
196,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AGAMA HINDU,1
197,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ADMINISTRASI DAN MANAJEMEN PENDIDIKAN,1
198,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ADMINISTRASI KEUANGAN SYARIAH,1
199,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ADMINISTRASI NEGARA,1
200,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ADMINISTRASI PENDIDIKAN,1
