id;tk_pendidikan_id;nama;status
07459EBA2CBCCE9FE060640AF10825D6;45;S-2 ROBOTICS AND AUTONOMOUS SYSTEM;1
ff80808136c3b69e0136c4bd7c034e47;45;S-2 MAGISTER PENGAJARAN FISIKA;0
ff808081374f8d6b01374fb472f01939;40;#DELETE#;0
ff80808137fd9c4a0137fdec191306d4;45;#DELETE#;0
ff80808138943f65013899004b564e7d;40;#DELETE#;0
ff808081398f0748013995ad2387206d;45;#DELETE#;0
ff80808139d902ed0139de52700d0138;35;#DELETE#;0
8ae4828739d90f2b0139e3c1b5fc72e8;40;S-1/A-IV PENDIDIKAN AGAMA ISLAM;0
8ae4829639d9413c0139e43731345b42;30;#DELETE#;0
ff8080813a0b828a013a1a1496190491;40;#DELETE#;0
ff808081397044670139711d938f2dd0;45;#DELETE#;0
ff8080813aba12b8013acee530181b4c;40;S-1/A-IV PENDIDIKAN BIOLOGI;0
ff8080813c61c951013c6f8c7edb2962;40;#DELETE#;0
8ae482893615f16401361a36d45a4bec;40;#DELETE#;0
ff808081398f07480139902595536ec9;45;S-2 MAGISTER;0
8ae4828939bdb6b30139c36800b24be6;40;#DELETE#;0
8ae482893ad58685013b21f4333077a3;45;S-2 PEMANFAATAN SUMBER DAYA PERAIRAN;0
8ae482893b3cbe1a013b507998861fd6;45;#DELETE#;0
ff8080813ccde369013cd1e9a77b6db2;45;#DELETE#;0
ff8080813a48090a013a48c6f660344d;30;0470022;0
8ae482893c0fbaf0013c13137b101108;40;#DELETE#;0
ff8080813c954b94013ca36138c8448e;45;#DELETE#;0
ff8080813d8781be013d9f71f32139fb;40;#DELETE#;0
ff8080813e121668013e1fe0b3c61aec;40;S-1 PENYULUHAN DAN KOMUNIKASI PERTANIAN;0
ff8080813e58db4d013e59174a6d08b5;40;S-1 SARJANA;0
ff8080813e5a0f16013e5e2e8a8e2ca8;40;#DELETE#;0
ff80808136c894560136cea27f7631e3;30;#DELETE#;0
ff8080813a0b828a013a0bae91e20981;45;#DELETE#;0
8ae482893c8629f5013c8fa505826178;40;S-1/A-IV PENDIDIKAN EKONOMI KOPERASI;0
ff8080813d5786a7013d5802b39e37f5;20;0509079;0
ff8080813d5786a7013d58069a583861;20;0450065;0
ff8080813e555ea7013e59dfc1de21a2;40;#DELETE#;0
ff8080813e7e780a013ea283934c592b;40;#DELETE#;0
ff80808138579ad001386fd78a6d168a;40;#DELETE#;0
ff8080813a023a2a013a06a1b5ad393e;40;S-1/A-IV PENDIDIKAN BAHASA INDONESIA;0
ff8080813ad91565013af81db19f6a3f;40;S-1 ADMINISTRASI PUBLIK;0
ff8080813af6fef2013afe1ea4d41903;45;#DELETE#;0
ff8080813c0fb402013c131017581a58;40;#DELETE#;0
ff8080813d1450bd013d14b5401929ce;20;0450063;0
ff8080813dab3fe7013dceaed7704714;40;S-1/A-IV PENDIDIKAN SEJARAH;0
8ae4829b3e121d70013e35f144a2761f;40;#DELETE#;0
ff8080813ec18e20013ee38ac2c413df;40;#DELETE#;0
ff8080813eeaa968013ef3507fe049e2;40;#DELETE#;0
ff8080813639eb04013651eb08b72b07;35;#DELETE#;0
8ae482893a024fbf013a0587681a3676;30;#DELETE#;0
ff8080813d3a39bf013d3e07092c665e;30;D-III KOMPUTER DAN SISTEM INFORMASI;0
ff8080813daef8f5013dce42ae1440ed;40;#DELETE#;0
ff8080813e58db4d013e6451824704e5;40;#DELETE#;0
8ae482893ec19107013ecbaacdb871a8;40;#DELETE#;0
ff8080813832a19d01384545515b2941;17;#DELETE#;0
8ae4829639f5ec840139f71bd77b4a8f;45;#DELETE#;0
ff8080813a4f875b013a52d204251d24;45;#DELETE#;0
ff8080813ca3ba3e013ca85a26946d91;45;#DELETE#;0
ff8080813d1450bd013d162bd2807a86;30;#DELETE#;0
ff8080813d63aa70013d67a9326570af;30;#DELETE#;0
8ae4829b3dab4019013daf102470376d;20;0411001;0
ff8080813dec8932013ded8266113db0;15;MADRASAH ALIYAH NEGERI;0
ff8080813e74ee33013e7e0c6b537488;40;#DELETE#;0
8ae482893ea2c5e7013eac1a3b726486;45;S-2 MASTER OF MANAGEMENT;0
ff8080813ef4d8b6013f1349bc1f0297;40;#DELETE#;0
ff8080813f3c56ad013f502513ca2c2a;25;0000015;0
ff8080813f51bad0013f607ee3037eb4;30;#DELETE#;0
8ae482883f51a619013f6c1ca5be7f34;40;S-1/AKTA IV;0
ff80808133391d070133494c304a20f2;40;S-1 PERTAMBANGAN;0
ff80808135a4ca180135a944cca81fa4;45;#DELETE#;0
8ae4828835e7acc60135ec3d86dc5361;15;MADRASAH ALIYAH IPS;0
8ae482883653f7bd013657813cce3278;45;#DELETE#;0
8ae482893b3cbe1a013b4ff4d9b115c2;40;0190127;0
ff80808139d910fa0139dc44e2f8326f;45;#DELETE#;0
8ae482893c955451013cb2d617dd5c74;45;#DELETE#;0
ff80808132afea850132b33639f155a8;40;S-1 ILMU KEOLAHRAGAAN;0
8ae482893a2b87eb013a3034a3747051;40;#DELETE#;0
8ae482893a4f818b013a53e20f974025;30;#DELETE#;0
ff8080813c26dfa4013c36987ff23784;35;#DELETE#;0
8ae482873c867fdd013c8b8b8f7a6a6b;45;S-2 EKONOMI SUMBER DAYA DAN LINGKUNGAN;0
ff8080813d207454013d381c3bf873cb;17;#DELETE#;0
8ae482893653fab50136579bca213e62;45;#DELETE#;0
8ae48289392437e2013928900d5b3586;17;#DELETE#;0
ff80808139704467013971971a904ef2;40;#DELETE#;0
8ae4829639f5ec840139f71e4a644c21;45;#DELETE#;0
ff8080813a4cddbe013a4deb86c660e3;40;S-1/A-IV BAHASA ARAB;0
ff8080813afd308f013b1654034a18e5;30;D-III KEPERAWATAN;0
ff8080813afd308f013b166ee9b61d6b;45;#DELETE#;0
ff8080813b5dd0f4013b6df8cf58502b;40;#DELETE#;0
ff8080813bdc5adc013bfa30c0685535;25;0070007;0
ff8080813c48705f013c4b81cbeb0cd7;40;#DELETE#;0
ff8080813d449a93013d485353e75bda;40;#DELETE#;0
8ae48289365dfa780136762e2ac54a3e;45;0199033;0
ff8080813ad91565013afe0e850e414c;45;#DELETE#;0
8ae482893ad58685013b16a2a3616bf8;45;S-2 BAHASA DAN SASTRA JEPANG;0
8ae482893ad58685013b2198700a6d49;45;S-2 BAHASA INDONESIA;0
8ae482893c48760f013c5a9bc1f040b7;40;S-1 BIMBINGAN DAN PENYULUHAN ISLAM;0
ff808081377e762d013782ca201b306a;40;#DELETE#;0
ff80808137c168ad0137c9e3c7406c84;30;#DELETE#;0
ff8080813821d9930138226e049f0ac7;45;#DELETE#;0
ff80808138a3e4510138b1df539f2f1d;40;S-1/A-IV PENDIDIKAN KEPELATIHAN OLAHRAGA;0
8ae482893ad58685013b1c8463873eb2;30;#DELETE#;0
ff8080813d13fc98013d14b038b96e17;20;D-I BIDAN;0
ff8080813afd308f013b1bc5b61e33f6;40;#DELETE#;0
8ae48289355d949e0135609d62bf20eb;50;#DELETE#;0
ff8080813639eb04013651ea3f6d2aed;45;#DELETE#;0
ff80808137b4fdc00137b64659a53b9c;45;#DELETE#;0
ff8080813821d9930138223f188607ab;50;S-3 ILMU LINGKUNGAN;0
ff808081399ff3360139af337326470a;45;#DELETE#;0
8ae482873f387037013f3bd8236e1953;40;#DELETE#;0
8ae482893b281ed4013b2c146da119eb;40;S-1 MANAJEMEN PEREKONOMIAN NEGARA;1
8ae482893aac2256013ab5053703757a;30;#DELETE#;0
ff8080813ad91565013afe3bfbdd48b2;50;S-3 ILMU HUKUM;0
ff8080813d18bb25013d1b1ca98e6d3e;45;#DELETE#;0
ff8080813e58db4d013e6877ee01488e;45;#DELETE#;0
ff80808141007c2301410ac5f3e87d3d;35;#DELETE#;0
ff80808141007c2301410be613363995;40;#DELETE#;0
8ae4828941007e71014116116b2b6f7f;40;S-1/A-IV PENDIDIKAN OLAHRAGA;0
ff80808141007d280141253e789c2227;40;#DELETE#;0
8ae48289413134b901413959579a196c;50;#DELETE#;0
ff80808141007c2301414f4580100209;40;S-1/A-IV PENDIDIKAN ADMINISTRASI PERKANTORAN;0
ff8080813daef8f5013dce442aee4146;40;#DELETE#;0
ff8080813e5a0f16013e5e26e0db1c3a;40;S-1/A-IV BIDANG PENDIDIKAN;0
ff8080813e74f1d3013e7db13f342f4c;40;#DELETE#;0
8ae482893e8315e6013ea14bb2026123;30;D-III MEDIK VETERINER;0
ff8080813f9eb58e013fc732cca66bb1;40;#DELETE#;0
ff8080814173fbf2014196a51f4c0c0d;40;#DELETE#;0
ff8080814174053001419c97fbdc5ce4;40;S-1/A-IV EKONOMI MANAJEMEN;0
E86E1A1A05E9B570E040640A18027F34;45;#DELETE#;0
8ae482893e8315e6013e8cbbca946dde;30;#DELETE#;0
ff8080813ec18e20013ee38fa5021510;40;#DELETE#;0
ff8080813ec18e20013ee39151b91631;40;#DELETE#;0
ff80808140cec7d80140f216c216734b;45;#DELETE#;0
ff8080815133783a01513858c68e6ba6;20;D-I PHT;1
ff80808141007d280141100326f22939;40;#DELETE#;0
ff80808141007c23014110964d790d37;40;#DELETE#;0
ff80808141007c2301411144cce9339d;40;S-1 SYARI`AH;0
8ae4828941007e71014116463e5d0aa2;40;0191332;0
8ae4828941007e7101412f01d6b2701e;45;S-2 PERBANKAN SYARI`AH;0
8ae482963e453bd9013e4f9697942a1c;40;#DELETE#;0
8ae482963e453bd9013e4f98cead2a1e;40;S-1/A-IV PENDIDIKAN BAHASA ARAB;0
8ae482963e453bd9013e4f9aaf212a1f;40;S-1/A-IV PENDIDIKAN KIMIA;0
ff808081407013c001408531ec4c5ce4;10;#DELETE#;0
ff8080814095dd640140a3abbff838c4;40;#DELETE#;0
ff80808141007d2801413029d3b467b3;35;#DELETE#;0
8ae4829641313684014138f694b57468;35;#DELETE#;0
