id,nama,status
161,LSP AKUNTANSI TRIATMA,1
162,LSP ALAS KAKI,1
163,LSP ALAT ANGKAT DAN ANGKUT INDONESIA,1
164,LSP ANIMASI SINEMATOGRAFI DESAIN DAN INFORMATIKA (LSP ANIMEDIA),1
165,LSP AP-NASIONAL,1
166,LSP APLIKASI ASURANSI DAN MANAJEMEN ASURANSI INDONESIA,1
167,LSP APMINDO,1
168,LSP AREA INDONESIA,1
169,LSP ARTHA DYAN INTERNATIONAL COLLEGE,1
170,LSP ASNAKES INDONESIA,1
171,LSP ASTRA,1
172,LSP ASTRA FINANCIAL,1
173,LSP ASURANSI SINAR MAS,1
174,LSP ATAKI KONSTRUKSI INDONESIA,1
175,LSP ATS SOROWAKO,1
176,LSP AUDITOR FORENSIK,1
177,LSP AUDITOR HUKUM INDONESIA,1
178,LSP AUDITOR INTERNAL,1
179,LSP AUDITOR TEKNOLOGI BPPT,1
180,LSP AVIASI SENTRAL INDONESIA,1
181,LSP BADAK LNG BONTANG,1
182,LSP BADAN AMIL ZAKAT NASIONAL,1
183,LSP BADAN PENGAWAS OBAT DAN MAKANAN,1
184,LSP BADAN SERTIFIKASI MANAJEMEN RISIKO,1
185,LSP BADAN WAKAF INDONESIA,1
186,LSP BAHANA KOMPETENSI KATIGA,1
187,LSP BALAI BESAR KERAJINAN DAN BATIK,1
188,LSP BALAI DIKLAT INDUSTRI PADANG,1
189,"LSP BALAI PELATIHAN SDM METROLOGI, MUTU DAN JASA PERDAGANGAN (BPMJP)",1
190,LSP BANDAR UDARA INDONESIA,1
191,LSP BARISTA INDONESIA,1
192,LSP BASARNAS,1
193,LSP BATIK,1
194,LSP BBPLK BANDUNG,1
195,LSP BBPLK BEKASI,1
196,LSP BBPPK DAN PKK,1
197,LSP BDI DENPASAR,1
198,LSP BDI SURABAYA,1
199,LSP BDI YOGYAKARTA,1
200,LSP BINA KONSTRUKSI NUSANTARA,1
201,LSP BINA MULTI PIPA INDONESIA,1
202,LSP BINAMUTU LINGKUNGAN KEHUTANAN,1
203,LSP BISNIS DIGITAL,1
204,LSP BLK AMBON,1
205,LSP BLK JOMBANG,1
206,LSP BLK KENDARI,1
207,LSP BLK LOMBOK TIMUR,1
208,LSP BLK MAKASSAR,1
209,LSP BLK SIDOARJO,1
210,LSP BLK SORONG,1
211,LSP BLPT YOGYAKARTA,1
212,LSP BLUE OCEAN,1
213,LSP BNN,1
214,LSP BNPB,1
215,LSP BPJS KESEHATAN,1
216,LSP BPPP BANYUWANGI,1
217,LSP BPPP MEDAN,1
218,LSP BPPTIK,1
219,LSP BPPTL,1
220,LSP BPSDM KEMENTRIAN PUPR,1
221,LSP BPSDM PROVINSI DKI JAKARTA,1
222,LSP BPVP BANDUNG BARAT,1
223,LSP BPVP BANYUWANGI,1
224,LSP BPVP TERNATE,1
225,LSP BRI,1
226,LSP BROKER PROPERTI INDONESIA,1
227,LSP BROKER PROPERTI NASIONAL,1
228,LSP BUMA (BUKIT MAKMUR MANDIRI UTAMA),1
229,LSP CAKRA WISATA INDONESIA,1
230,LSP CAREGIVER,1
231,LSP CLEANING SERVICE INDONESIA,1
232,LSP CLEANING SERVICE NUSANTARA,1
233,LSP COACH META UNGGUL,1
234,LSP CREW KAPAL PESIAR DAN KAPAL NIAGA INTERNASIONAL,1
235,LSP DAARUL QUR'AN,1
236,LSP DANA PENSIUN,1
237,LSP DEMO,1
238,LSP DENSO INDONESIA,1
239,LSP DOMPET DHUAFA,1
240,LSP EKOSISTEM MULTIMODA INDONESIA,1
241,LSP EKSPOR IMPOR INTERNASIONAL,1
242,LSP ELEKTRONIKA INDONESIA,1
243,LSP ELEKTRONIKA NASIONAL,1
244,LSP ELEKTROTEKNIKA,1
245,LSP ELESPE JAKI MANDHIRI,1
246,LSP ELIZABETH INTERNATIONAL,1
247,LSP ENGINEERING HOSPITALITY INDONESIA,1
248,LSP ENTREPRENEUR DIGITAL INDONESIA,1
249,LSP ENTREPRENEURSHIP CIPUTRA,1
250,LSP ESDM,1
251,LSP FTI UNISKA,1
252,LSP FURNICRAFT INDONESIA,1
253,LSP GARMENT,1
254,LSP GEO MINERAL BATUBARA DAN ENERGI,1
255,LSP GEOMATIKA,1
256,LSP GEOSPASIAL,1
257,LSP GEOTEKNIK INDONESIA,1
258,LSP GIZI INDONESIA,1
259,LSP HAKE (HIMPUNAN AHLI KONSERVASI ENERGI),1
260,LSP HATSINDO INDONESIA TEKNIK,1
261,LSP HCMI,1
262,LSP HIGIENE INDUSTRI,1
263,LSP HIPTASI MULTI KONSTRUKSI,1
264,LSP HOSPITALITY CAKRAWALA INDONESIA,1
265,LSP HOTEL DAN RESTORAN,1
266,LSP HUBUNGAN INDUSTRIAL INDONESIA APINDO,1
267,LSP HUKUM BISNIS INDONESIA (LSP HBI),1
268,LSP HUTAN INDONESIA,1
269,LSP HUTAN LESTARI MANDIRI PROFESI,1
270,LSP INDUSTRI MANUFAKTUR ALAT BERAT INDONESIA (LSP IMABI),1
271,LSP INFORMASI KOMUNIKASI,1
272,LSP INFORMATIKA,1
273,LSP INFORMATIKA INDONESIA (LSP INFINDO),1
274,LSP INFRASTRUKTUR JALAN DAN JEMBATAN INDONESIA,1
275,LSP INSAN RITEL INDONESIA,1
276,LSP INSTITUT BISNIS DAN TEKNOLOGI PELITA INDONESIA,1
277,LSP INSTRUKTUR DAN TENAGA PELATIHAN NASIONAL (LSP INNAS),1
278,LSP INSTRUKTUR KOMPETEN INDONESIA,1
279,LSP INSTRUKTUR KONSTRUKSI IALKI,1
280,LSP INTALA,1
281,LSP ISI YOGYAKARTA,1
282,LSP ITNY,1
283,LSP ITS,1
284,LSP JAMU AIR MANCUR,1
285,LSP JASA INTEGRASI MEDIATOR LEGAL YUSTISIA (LSP JIMLY),1
286,LSP JASA KONSTRUKSI INTAKINDO,1
287,LSP JASA RAHARJA,1
288,LSP JUSTITIA,1
289,LSP K3 INDONESIA,1
290,LSP K3 INDUSTRI BUANA LESTARI,1
291,LSP K3 KONSTRUKSI,1
292,LSP K3 MANDIRI,1
293,LSP KALBE FARMA,1
294,LSP KAPAL PESIAR HARAPAN MULYA,1
295,LSP KARATON NGAYOGYAKARTA HADININGRAT,1
296,LSP KATIGA BINA NUSA,1
297,LSP KATIGA LINGKUNGAN OSHE NUSANTARA,1
298,LSP KATIGA PASS,1
299,LSP KECANTIKAN,1
300,LSP KECANTIKAN ESCRINS,1
301,"LSP KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL, DAN TRANSMIGRASI",1
302,LSP KEMENTERIAN SOSIAL RI,1
303,LSP KESEHATAN,1
304,LSP KESEHATAN OLAHRAGA (KESOR),1
305,LSP KETENAGAKERJAAN KABUPATEN BOGOR,1
306,LSP KEUANGAN KOPERASI INDONESIA,1
307,LSP KIMIA INDUSTRI,1
308,LSP KJK NASIONAL,1
309,LSP KLINING SERVIS,1
310,LSP KOMPETEN HIPNOTIS INDONESIA,1
311,LSP KOMUNIKASI DAN SIARAN INDONESIA (KOMSINDO),1
312,LSP KONIMEX,1
313,LSP KONSERVASI DAN JASA KELAUTAN,1
314,LSP KONSTRUKSI ASTTATINDO,1
315,LSP KONSULTAN MANAJEMEN KESEHATAN,1
316,LSP KOPERASI NUSANTARA,1
317,LSP KPK,1
318,LSP KREATOR FILM DAN TELEVISI INDONESIA,1
319,LSP LALINSA,1
320,"LSP LALU LINTAS ANGKUTAN SUNGAI, DANAU DAN PENYEBERANGAN (LLASDP) PALEMBANG",1
321,LSP LAUNDRY INDONESIA,1
322,LSP LDP PAMSI,1
323,LSP LEMBAGA ADMINISTRASI NEGARA,1
324,LSP LEMBAGA PENDIDIKAN PERKEBUNAN,1
325,LSP LINGKUNGAN HIDUP,1
326,LSP LINGKUNGAN HIDUP NASIONAL,1
327,LSP LINGKUNGAN HIDUP NUSANTARA,1
328,LSP LINGKUNGAN INDONESIA,1
329,LSP LKM CERTIF,1
330,LSP LKPP,1
331,LSP LOGAM DAN MESIN INDONESIA,1
332,LSP LPK AKBARINDO,1
333,LSP LPK BANGUN BHUANA,1
334,LSP LPK GLOBAL ULTIMA TALENTA,1
335,LSP LPK HOTEL AND CRUISE INTERNATIONAL (LSP LPK H.I),1
336,LSP LPK INSCINEMA,1
337,LSP LPK JAYA WISATA INTERNATINAL HOTEL SCHOOL,1
338,LSP LPK KAIGO LICENSE CENTER OSS,1
339,LSP LPK LENSA,1
340,LSP LPK PREINEXUS,1
341,LSP LPK PRESIDEN,1
342,LSP LPK PT HINO MOTORS SALES INDONESIA,1
343,LSP LPK PUSAT PEMBINAAN PELATIHAN DAN SERTIFIKASI MANDIRI,1
344,LSP LPK PUSPITA MARTHA,1
345,LSP LPK SANGKURIANG,1
346,LSP LPK SEKOLAH EKSPOR NASIONAL,1
347,LSP LPK TENAGA KERJA KONSTRUKSI,1
348,LSP LPK WIDI PRAKARSA TRAINING CONSULTING,1
349,LSP LPK-TIKOM,1
350,LSP MAHAWIRA,1
351,LSP MANAJEMEN BISNIS KEWIRAUSAHAAN MANDIRI,1
352,LSP MANAJEMEN DAN PENGEMBANGAN SUMBER DAYA MANUSIA (MPSDM),1
353,LSP MANAJEMEN KEUANGAN,1
354,LSP MANAJEMEN KEWIRAUSAHAAN PRIMA INDONESIA (MENPRINDO),1
355,LSP MANAJEMEN KOMUNIKASI,1
356,LSP MANAJEMEN KONSTRUKSI HAMKI,1
357,LSP MANAJEMEN KONSTRUKSI NUSANTARA,1
358,LSP MANAJEMEN PELAYANAN INDONESIA,1
359,LSP MANAJEMEN PENGELOLA LEMBAGA PELATIHAN DAN KURSUS INDONESIA (MAPELKINDO),1
360,LSP MANAJEMEN SUMBER DAYA MANUSIA PROFESIONAL,1
361,"LSP MANAJEMEN, BISNIS DAN KEWIRAUSAHAAN NUSANTARA (MENBISKA NUSANTARA)",1
362,LSP MARITIM INDONESIA,1
363,LSP MEBEL KRIYA INDONESIA,1
364,LSP MEDIA INFORMATIKA,1
365,LSP MEDIKA KDI PDUI,1
366,LSP MEKANIK INDONESIA,1
367,LSP MEKATRONIK KONSTRUKSI NUSANTARA,1
368,LSP MICROFINANCE INDONESIA,1
369,LSP MIGAS,1
370,LSP MIGAS MITRA PERKASA,1
371,LSP MIGRAN SAWIT INDONESIA,1
372,LSP MITRA ADIPERKASA,1
373,LSP MITRA WIRAUSAHA PRODUKTIF MERDEKA,1
374,LSP MKS,1
375,LSP MODE INDONESIA,1
376,LSP MSDM ANALITIK,1
377,LSP MSDM APINDO JAYA,1
378,LSP MSDM BALIASEAN INT',1
379,LSP MSDM CIPTA UNGGUL,1
380,LSP MSDM ILMA,1
381,LSP MSDM INDONESIA,1
382,LSP MSDM KOMPETEN INDONESIA,1
